Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,20,0.040000,10,12.2945,8.96465,37.0642,0.708203
PM10,Warsaw,1,20,0.040000,15,12.7524,9.26815,38.8696,0.709352
PM10,Warsaw,1,20,0.040000,20,12.6655,9.315,38.8984,0.701655
PM10,Warsaw,1,20,0.040000,25,12.55,9.21301,38.929,0.700782
PM10,Warsaw,1,20,0.040000,30,12.5687,9.26828,39.4728,0.69967
PM10,Warsaw,1,20,0.040000,35,12.4532,9.03514,37.7676,0.71124
PM10,Warsaw,1,20,0.040000,40,12.5516,9.20588,39.2298,0.710652
PM10,Warsaw,1,20,0.040000,50,12.4872,9.01356,37.7142,0.709295
PM10,Warsaw,1,20,0.050000,1,14.9617,11.1887,45.455,0.679687
PM10,Warsaw,1,20,0.050000,5,12.7098,9.10643,37.1027,0.691742
PM10,Warsaw,1,20,0.050000,10,12.3214,8.87959,37.3842,0.711241
PM10,Warsaw,1,20,0.050000,15,12.4752,9.00709,36.4328,0.72656
PM10,Warsaw,1,20,0.050000,20,12.2561,8.90249,36.2278,0.718749
PM10,Warsaw,1,20,0.050000,25,12.7412,9.21218,37.883,0.700813
PM10,Warsaw,1,20,0.050000,30,12.4168,8.96661,37.0486,0.718976
PM10,Warsaw,1,20,0.050000,35,12.4032,9.06474,37.735,0.719734
PM10,Warsaw,1,20,0.050000,40,12.4943,9.11333,38.1906,0.706152
PM10,Warsaw,1,20,0.050000,50,12.4049,9.00601,37.8427,0.708979
PM10,Warsaw,1,20,0.100000,1,13.3978,9.52492,40.5854,0.698921
PM10,Warsaw,1,20,0.100000,5,11.9785,8.71629,38.5688,0.707453
PM10,Warsaw,1,20,0.100000,10,12.3248,9.1103,41.3111,0.682459
PM10,Warsaw,1,20,0.100000,15,11.8656,8.70971,38.8651,0.723608
PM10,Warsaw,1,20,0.100000,20,11.8643,8.57356,37.6313,0.690872
PM10,Warsaw,1,20,0.100000,25,12.1418,8.94445,40.034,0.685566
PM10,Warsaw,1,20,0.100000,30,11.8843,8.62462,37.9195,0.699252
PM10,Warsaw,1,20,0.100000,35,11.7614,8.65308,38.5963,0.706634
PM10,Warsaw,1,20,0.100000,40,11.8705,8.71379,38.5505,0.70941
PM10,Warsaw,1,20,0.100000,50,11.6428,8.36668,36.6373,0.705444
PM10,Warsaw,1,20,0.150000,1,12.5155,9.13194,40.225,0.66723
PM10,Warsaw,1,20,0.150000,5,12.2917,8.83717,36.8963,0.657695
PM10,Warsaw,1,20,0.150000,10,11.8658,8.65403,37.4889,0.68297
PM10,Warsaw,1,20,0.150000,15,12.1162,8.74571,37.0752,0.659031
PM10,Warsaw,1,20,0.150000,20,11.8911,8.71323,36.9365,0.6809
PM10,Warsaw,1,20,0.150000,25,12.1467,8.71409,36.5996,0.656502
PM10,Warsaw,1,20,0.150000,30,12.0099,8.65227,36.7825,0.669491
PM10,Warsaw,1,20,0.150000,35,11.7942,8.47229,35.569,0.687222
PM10,Warsaw,1,20,0.150000,40,12.1367,8.72022,36.7582,0.65282
PM10,Warsaw,1,20,0.150000,50,12.0042,8.67139,36.9615,0.658498
PM10,Warsaw,1,20,0.200000,1,12.9169,9.65604,42.6178,0.647429
PM10,Warsaw,1,20,0.200000,5,12.7911,9.41898,43.2205,0.595389
PM10,Warsaw,1,20,0.200000,10,12.6002,9.32611,42.7908,0.62143
PM10,Warsaw,1,20,0.200000,15,12.5841,9.1617,42.2049,0.593727
PM10,Warsaw,1,20,0.200000,20,12.5241,9.17503,42.2833,0.610815
PM10,Warsaw,1,20,0.200000,25,12.5556,9.1292,41.3979,0.607668
PM10,Warsaw,1,20,0.200000,30,12.5682,9.30587,43.1194,0.617945
PM10,Warsaw,1,20,0.200000,35,12.4419,9.09021,41.285,0.615816
PM10,Warsaw,1,20,0.200000,40,12.6144,9.18751,41.6811,0.60123
PM10,Warsaw,1,20,0.200000,50,12.4893,9.13736,41.6926,0.610292
PM10,Warsaw,1,20,0.250000,1,12.9076,9.42112,42.6363,0.601213
PM10,Warsaw,1,20,0.250000,5,13.3474,10.2398,49.6031,0.557613
PM10,Warsaw,1,20,0.250000,10,12.996,9.46529,44.7843,0.523439
PM10,Warsaw,1,20,0.250000,15,13.4976,10.1114,48.4655,0.505701
PM10,Warsaw,1,20,0.250000,20,12.9242,9.48707,44.7566,0.538556
PM10,Warsaw,1,20,0.250000,25,13.1526,9.62202,44.9985,0.492337
PM10,Warsaw,1,20,0.250000,30,13.0324,9.55717,45.1772,0.52075
PM10,Warsaw,1,20,0.250000,35,13.3756,9.9445,47.4442,0.489292
PM10,Warsaw,1,20,0.250000,40,13.251,9.77338,46.8415,0.508624
PM10,Warsaw,1,20,0.250000,50,13.1269,9.58899,45.2524,0.509811
PM10,Warsaw,1,20,0.300000,1,14.9913,11.2633,53.7647,0.275704
PM10,Warsaw,1,20,0.300000,5,13.3471,10.2747,49.9157,0.527611
PM10,Warsaw,1,20,0.300000,10,14.138,10.8878,53.0398,0.44377
PM10,Warsaw,1,20,0.300000,15,14.1755,10.8382,52.4406,0.412037
PM10,Warsaw,1,20,0.300000,20,13.7661,10.4174,50.2463,0.441527
PM10,Warsaw,1,20,0.300000,25,13.8122,10.4496,50.4919,0.442569
PM10,Warsaw,1,20,0.300000,30,13.866,10.4785,50.3757,0.428769
PM10,Warsaw,1,20,0.300000,35,14.0676,10.6609,51.5757,0.41505
PM10,Warsaw,1,20,0.300000,40,13.9631,10.6653,51.8888,0.440051
PM10,Warsaw,1,20,0.300000,50,13.9884,10.6324,51.6079,0.435282
PM10,Warsaw,1,20,0.350000,1,16.0955,12.563,62.8762,0.319428
PM10,Warsaw,1,20,0.350000,5,15.2231,11.7282,57.3533,0.333908
PM10,Warsaw,1,20,0.350000,10,14.465,11.0306,53.0256,0.379017
PM10,Warsaw,1,20,0.350000,15,14.9078,11.269,54.0681,0.301234
PM10,Warsaw,1,20,0.350000,20,14.838,11.2501,54.1035,0.319324
PM10,Warsaw,1,20,0.350000,25,15.0602,11.4569,55.4819,0.307838
PM10,Warsaw,1,20,0.350000,30,15.0197,11.4341,55.347,0.31274
PM10,Warsaw,1,20,0.350000,35,14.8453,11.3523,54.9292,0.335261
PM10,Warsaw,1,20,0.350000,40,14.8945,11.3181,54.6863,0.319906
PM10,Warsaw,1,20,0.350000,50,15.1209,11.4465,55.2784,0.28984
PM10,Warsaw,1,20,0.400000,1,16.0955,12.563,62.8762,0.319428
PM10,Warsaw,1,20,0.400000,5,15.3593,11.4255,54.7455,0.227832
PM10,Warsaw,1,20,0.400000,10,15.3569,11.5589,55.8675,0.260267
PM10,Warsaw,1,20,0.400000,15,15.406,11.6687,56.7008,0.274221
PM10,Warsaw,1,20,0.400000,20,15.3159,11.5673,55.9961,0.271656
PM10,Warsaw,1,20,0.400000,25,15.3215,11.5458,55.8073,0.265303
PM10,Warsaw,1,20,0.400000,30,15.4482,11.6388,56.4041,0.258375
PM10,Warsaw,1,20,0.400000,35,15.3546,11.6405,56.5378,0.27928
PM10,Warsaw,1,20,0.400000,40,15.342,11.595,56.1895,0.272115
PM10,Warsaw,1,20,0.400000,50,15.371,11.6029,56.2147,0.267366
PM10,Warsaw,1,30,0.010000,1,12.7554,9.24927,38.1909,0.770008
PM10,Warsaw,1,30,0.010000,5,11.4172,8.51902,34.4283,0.786672
PM10,Warsaw,1,30,0.010000,10,11.1457,8.12228,32.8649,0.795971
PM10,Warsaw,1,30,0.010000,15,11.1585,8.08553,32.6975,0.786371
PM10,Warsaw,1,30,0.010000,20,11.0901,8.065,33.0301,0.790822
PM10,Warsaw,1,30,0.010000,25,10.9992,8.0529,32.9849,0.798587
PM10,Warsaw,1,30,0.010000,30,10.9085,7.96033,32.7815,0.796813
PM10,Warsaw,1,30,0.010000,35,11.0041,7.97079,32.5788,0.790923
PM10,Warsaw,1,30,0.010000,40,11.1447,8.04954,32.6577,0.785146
PM10,Warsaw,1,30,0.010000,50,11.0386,8.03282,32.7903,0.7971
PM10,Warsaw,1,30,0.020000,1,12.7554,9.24927,38.1909,0.770008
PM10,Warsaw,1,30,0.020000,5,11.381,8.31885,33.9555,0.790013
PM10,Warsaw,1,30,0.020000,10,11.1151,8.08138,32.2063,0.801978
PM10,Warsaw,1,30,0.020000,15,11.3663,8.17205,33.8046,0.774796
PM10,Warsaw,1,30,0.020000,20,11.2221,8.12954,33.3666,0.786267
PM10,Warsaw,1,30,0.020000,25,11.2479,8.1744,33.4069,0.782401
PM10,Warsaw,1,30,0.020000,30,11.0447,8.02902,32.5417,0.79503
PM10,Warsaw,1,30,0.020000,35,11.041,8.06073,32.6756,0.794123
PM10,Warsaw,1,30,0.020000,40,11.0786,8.06676,32.681,0.791555
PM10,Warsaw,1,30,0.020000,50,10.9856,7.9479,32.4347,0.796952
PM10,Warsaw,1,30,0.030000,1,12.7831,9.27091,38.2482,0.769417
PM10,Warsaw,1,30,0.030000,5,11.4679,8.20355,33.3392,0.772718
PM10,Warsaw,1,30,0.030000,10,11.4208,8.25747,34.1535,0.773856
PM10,Warsaw,1,30,0.030000,15,11.1663,8.23647,33.7677,0.790145
PM10,Warsaw,1,30,0.030000,20,11.0126,8.06839,32.5102,0.798076
PM10,Warsaw,1,30,0.030000,25,10.9927,8.00684,33.3913,0.795869
PM10,Warsaw,1,30,0.030000,30,11.0443,8.02891,32.6982,0.79469
PM10,Warsaw,1,30,0.030000,35,10.9646,8.00486,32.4411,0.796627
